from,to,relationship
F500,UL,1
F500,LK,1
F500,NR,1
F500,SW,1
F500,CS,1
UL,LK,1
UL,NR,2
UL,SW,1
UL,CS,1
LK,NR,1
LK,SW,1
LK,CS,1
NR,SW,1
NR,CS,1
SW,CS,1
F501,CL,1
F501,KS,1
F501,LM,1
F501,KD,1
F501,EL,1
CL,KS,1
CL,LM,1
CL,KD,1
CL,EL,1
KS,LM,1
KS,KD,1
KS,EL,1
LM,KD,1
LM,EL,1
KD,EL,1
NR,F501,1
NR,CL,1
NR,KS,1
NR,LM,1
NR,KD,1
NR,EL,1
F502,AB,1
F502,FT,1
F502,AM,1
F502,AGL,1
F502,ER,1
AB,FT,1
AB,AM,1
AB,AGL,1
AB,ER,1
FT,AM,1
FT,AGL,1
FT,ER,1
AM,AGL,1
AM,ER,1
AGL,ER,1
F503,LK,1
F503,RH,1
F503,CM,1
F503,KP,1
F503,RK,1
LK,RH,1
LK,CM,1
LK,KP,1
LK,RK,1
RH,CM,1
RH,KP,1
RH,RK,1
CM,KP,1
CM,RK,1
KP,RK,1
F504,AGL,1
F504,CLT,1
F504,SB,1
F504,CH,1
F504,MW,1
AGL,CLT,1
AGL,SB,1
AGL,CH,1
AGL,MW,1
CLT,SB,1
CLT,CH,1
CLT,MW,1
SB,CH,1
SB,MW,1
CH,MW,1
